first_name,last_name,your_school,purchased_school,your_position,purchased_position
Rob,Ryan,USC,University of Southern California,Assistant Head Coach / Linebackers,"Assistant Head Coach (Linebackers, Defense)"
Chad,Savage,USC,University of Southern California,Tight Ends / Inside Receivers,Assistant Coach (Tight Ends)
Dennis,Simmons,USC,University of Southern California,Assistant Head Coach / Wide Receivers / Passing Game Coordinator,"Assistant Head Coach (Wide Receivers, Offensive Passing-Game Coordinator)"
Jayden,Everett,Wisconsin,University of Minnesota,Running Backs,Assistant Coach (Running Backs)
Brandon,Butcher,Campbell,University of Texas - El Paso,Defensive Coordinator,Assistant Coach (Linebackers)
Jalen,Hairston,Elon,University of Maine,Assistant Football Coach (Cornerbacks),"Assistant Coach (Safeties, Defensive Passing-Game Coordinator)"
JB,Lageman,Elon,Virginia Military Institute - VMI,Assistant Football Coach (Defensive Line),"Assistant Coach (Defensive Line, Running-Game Coordinator)"
Sean,Goldrich,New Hampshire,University of Delaware,Head Coach,"Recruiting Coordinator, Assistant Coach (Quarterbacks, Passing-Game Coordinator)"
Courtney,Coard,North Carolina A&T,North Carolina A&T State University,Assistant Head Coach/Defensive Line/Pro Liaison,"Pro Liaison, Assistant Head Coach (Defensive Line)"
Shawn,Gibbs,North Carolina A&T,North Carolina A&T State University,Head Coach,Head Coach
Keith,Henry,North Carolina A&T,North Carolina A&T State University,Running Backs,Assistant Coach (Running Backs)
Denzel,Jones,North Carolina A&T,North Carolina A&T State University,Defensive Coordinator/Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Terry,Lantz,North Carolina A&T,North Carolina A&T State University,Outside Linebackers,Assistant Coach (Outside Linebackers)
Ron,Mattes,North Carolina A&T,North Carolina A&T State University,Offensive Line,Assistant Coach (Offensive Line)
Greg,McGhee,North Carolina A&T,North Carolina A&T State University,Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Tony,McRae,North Carolina A&T,North Carolina A&T State University,Defensive Backs/Pro Liaison,"Assistant Coach (Defensive Backs), Pro Liaison"
Nate,Poole,North Carolina A&T,North Carolina A&T State University,Wide Receivers/Recruiting Coordinator,"Recruiting Coordinator, Assistant Coach (Wide Receivers)"
Alex,Purviance,North Carolina A&T,North Carolina A&T State University,Tight Ends,Assistant Coach (Tight Ends)
Chris,Bache,Stony Brook,SUNY Stony Brook University,Offensive Line Coach,Assistant Coach (Offensive Line)
Billy,Barber,Stony Brook,SUNY Stony Brook University,Director of Football Operations,Director of Operations
Billy,Cosh,Stony Brook,SUNY Stony Brook University,Head Coach,Head Coach
Anthony,Davis II,Stony Brook,SUNY Stony Brook University,Offensive Coordinator/Wide Receivers Coach,"Assistant Coach (Offensive Coordinator, Wide Receivers)"
Kevin,Elliott,Stony Brook,SUNY Stony Brook University,Special Teams Coordinator/Outside Linebackers Coach,"Assistant Coach (Outside Linebackers, Special Teams)"
